equipamento_id,equipamento_nome,componente_id,componente_nome,sensor_id,sensor_nome,frequencia_leitura,falha_id,falha_nome,data_falha,descricao_falha,tecnico_id,tecnico_nome,procedimento_id,procedimento_nome
eqp1,Compressor de Ar,cmp1,Engrenagem,sns1,Sensor de Vibração,0.62,flh1,Falha por Vibração Excedente,2025-02-17,Excesso de vibração detectado,tec1,Carlos Silva,prc1,Vedação da Válvula
eqp2,Compressor de Ar,cmp2,Válvula de Pressão,sns2,Sensor de Vibração,1.18,flh2,Falha por Vibração Excedente,2023-02-09,Perda de pressão no componente,tec2,Ana Lima,prc2,Resfriamento do Equipamento
eqp3,Bomba Hidráulica,cmp3,Válvula de Pressão,sns3,Sensor de Vibração,1.95,flh3,Superaquecimento,2024-08-05,Temperatura acima do limite,tec3,Ana Lima,prc3,Resfriamento do Equipamento
eqp4,Bomba Hidráulica,cmp4,Engrenagem,sns4,Sensor de Pressão,1.17,flh4,Falha por Vibração Excedente,2024-07-26,Temperatura acima do limite,tec4,Ana Lima,prc4,Vedação da Válvula
eqp5,Compressor de Ar,cmp5,Engrenagem,sns5,Sensor de Temperatura,1.15,flh5,Falha por Vibração Excedente,2023-07-07,Excesso de vibração detectado,tec5,Ana Lima,prc5,Resfriamento do Equipamento
eqp6,Bomba Hidráulica,cmp6,Engrenagem,sns6,Sensor de Vibração,1.58,flh6,Vazamento de Pressão,2024-07-14,Perda de pressão no componente,tec6,Ana Lima,prc6,Troca de Rolamento
eqp7,Bomba Hidráulica,cmp7,Rolamento Frontal,sns7,Sensor de Pressão,1.69,flh7,Falha por Vibração Excedente,2023-08-17,Temperatura acima do limite,tec7,Carlos Silva,prc7,Troca de Rolamento
eqp8,Bomba Hidráulica,cmp8,Rolamento Frontal,sns8,Sensor de Temperatura,1.77,flh8,Falha por Vibração Excedente,2025-01-01,Temperatura acima do limite,tec8,João Pereira,prc8,Resfriamento do Equipamento
eqp9,Motor Principal,cmp9,Válvula de Pressão,sns9,Sensor de Pressão,1.49,flh9,Falha por Vibração Excedente,2024-01-05,Perda de pressão no componente,tec9,João Pereira,prc9,Troca de Rolamento
eqp10,Bomba Hidráulica,cmp10,Engrenagem,sns10,Sensor de Vibração,1.54,flh10,Vazamento de Pressão,2023-05-17,Temperatura acima do limite,tec10,Carlos Silva,prc10,Resfriamento do Equipamento
